pdf,page,ocr_seconds,chars,mean_conf,n_words,stderr
gaceta-6078-2012-06-15-extraordinaria.pdf,24,6.605016700050328,6611,90.95735424205132,975,
gaceta-6078-2012-06-15-extraordinaria.pdf,25,5.859124600014184,6382,91.7627438339882,1018,
gaceta-6078-2012-06-15-extraordinaria.pdf,26,6.392033500014804,6579,90.96070981218773,1001,
gaceta-6078-2012-06-15-extraordinaria.pdf,27,5.812781099986751,6005,91.46855719601668,954,
gaceta-6078-2012-06-15-extraordinaria.pdf,28,6.1779190999805,6423,90.6212878570029,1021,
gaceta-6078-2012-06-15-extraordinaria.pdf,29,6.15534120000666,6415,91.1103865887575,1014,
gaceta-6078-2012-06-15-extraordinaria.pdf,30,6.213204099971335,6212,91.70213082670752,981,
gaceta-6078-2012-06-15-extraordinaria.pdf,31,5.312417599954642,4938,90.04654093955337,761,Detected 80 diacritics
gaceta-6078-2012-06-15-extraordinaria.pdf,32,5.555446500016842,5559,91.37021255121947,615,
gaceta-6078-2012-06-15-extraordinaria.pdf,33,6.093464899982791,6183,91.41351748920876,973,
gaceta-6078-2012-06-15-extraordinaria.pdf,34,6.629318300052546,7153,90.86242776999994,1100,
gaceta-6078-2012-06-15-extraordinaria.pdf,35,6.05787960003363,6200,91.22084263911275,992,Detected 73 diacritics
gaceta-6078-2012-06-15-extraordinaria.pdf,36,6.091938600002322,6429,91.69753073423873,1031,
gaceta-6078-2012-06-15-extraordinaria.pdf,37,4.899025499995332,5441,91.47901949718779,889,
gaceta-6078-2012-06-15-extraordinaria.pdf,38,6.099490399996284,6322,90.81331485234895,447,
gaceta-6078-2012-06-15-extraordinaria.pdf,39,6.4581079999916255,6685,90.88027976459678,1079,
gaceta-6078-2012-06-15-extraordinaria.pdf,40,6.1877681000041775,6580,91.02338701480112,1081,
gaceta-6078-2012-06-15-extraordinaria.pdf,41,6.2661364999949,6026,90.32959656862741,969,Detected 91 diacritics
gaceta-6078-2012-06-15-extraordinaria.pdf,42,7.291337199974805,7526,90.86003695039157,1149,
gaceta-6078-2012-06-15-extraordinaria.pdf,43,7.013642899983097,7219,91.84558970500444,1139,Detected 95 diacritics
gaceta-6078-2012-06-15-extraordinaria.pdf,44,6.521589699957985,6936,91.36893682533932,1105,
gaceta-6078-2012-06-15-extraordinaria.pdf,45,6.4205093999626115,6726,91.66760001742503,1033,
gaceta-6078-2012-06-15-extraordinaria.pdf,46,5.755422100017313,6073,91.71437301481481,945,
gaceta-6078-2012-06-15-extraordinaria.pdf,47,6.2602762000169605,6652,91.30720663469673,709,
gaceta-6078-2012-06-15-extraordinaria.pdf,48,5.665734699985478,5737,90.19953969508194,915,
gaceta-6078-2012-06-15-extraordinaria.pdf,49,5.443830800009891,5317,90.45088018802385,835,Detected 72 diacritics
gaceta-6078-2012-06-15-extraordinaria.pdf,50,5.384163799986709,5545,89.77020805023363,856,
gaceta-6078-2012-06-15-extraordinaria.pdf,51,5.563813499989919,5614,90.33527510201793,892,
gaceta-6078-2012-06-15-extraordinaria.pdf,52,6.380733300000429,6482,90.23955506787752,1046,
gaceta-6078-2012-06-15-extraordinaria.pdf,53,5.561161100049503,5459,91.76439242576431,916,
gaceta-6078-2012-06-15-extraordinaria.pdf,54,6.2883923999615945,6428,90.3965983275861,1044,
gaceta-6078-2012-06-15-extraordinaria.pdf,55,5.886343499994837,5963,91.75149812984303,955,
gaceta-6078-2012-06-15-extraordinaria.pdf,56,6.591842500027269,6904,91.51897028736737,1037,
gaceta-6078-2012-06-15-extraordinaria.pdf,57,6.717654399981257,6758,91.26570983858652,1047,
gaceta-6078-2012-06-15-extraordinaria.pdf,58,6.159765999997035,6528,90.76864882168184,987,
gaceta-6078-2012-06-15-extraordinaria.pdf,59,8.237585199996829,6242,90.67217799341375,911,
gaceta-6078-2012-06-15-extraordinaria.pdf,60,5.2873428000020795,5039,90.45837160000002,50,
gaceta-6078-2012-06-15-extraordinaria.pdf,61,3.690528099949006,2691,87.25619473484842,396,
gaceta-6078-2012-06-15-extraordinaria.pdf,62,1.1417063999688253,57,75.64369787499999,8,
gaceta-6078-2012-06-15-extraordinaria.pdf,63,2.449036600010004,1843,89.68062769372683,271,
